stkcd,fixed_assets_net,total_liab,total_assets,year,net_profit,depreciation,soe,ind_code,listing_state,m2_growth,lev,npr,size,tang,ndts,total_assets_lag1,growth,ind1,is_finance
300395,417981122.4,2088415204.82,2506396327.22,2020,272533039.6,735394321.47,0,C30,,10.08347580099083,.8332342264227587,.1087350139482064,21.64211183224051,.1667657735772414,.293407037619494,2161537424.13,.1595433413459415,C,0
300395,592779916.62,2659706281.55,3252486198.17,2021,422798635.35,994301866.9,0,C30,,8.967617464089015,.8177456012100757,.1299924456521556,21.9026855248892,.1822543987899243,.3057051763845887,2506396327.22,.2976743393881107,C,0
300395,845961974.64,3478192726.6,4324154701.24,2022,566013782.16,1378650522.82,0,C30,,11.81003437199093,.8043636194612994,.1308958215573761,22.18748251342843,.1956363805387006,.3188254394378296,3252486198.17,.3294920985899864,C,0
300395,1413761795.25,4501251244.76,5915013040.01,2023,644158229.21,1464939114.03,0,C30,,9.698250482791909,.7609875437827252,.1089022500631564,22.50075953894069,.2390124562172748,.2476645620425417,4324154701.24,.3679004218590524,C,0
300395,1143736595.47,4947187576.61,6090924172.08,2024,344353337.56,1491870415.57,0,C30,,7.274370826491445,.8122228149362392,.0565354826018801,22.53006565954908,.1877771850637608,.2449333423667526,5915013040.01,.0297397707968032,C,0
300396,480992649.71,1285948248.47,1766940898.18,2015,136893175.14,674818965.65,0,C35,,13.34310844471526,.7277822647008532,.0774746768728959,21.29251558217507,.2722177352991468,.3819137167208495,1046738062.26,.6880449482891818,C,0
300396,482299921.16,1376053395.39,1858353316.55,2016,181111191.85,911279306.98,0,C35,,11.33311636279569,.7404692009507745,.0974578893244207,21.34295661886712,.2595307990492257,.4903692418790276,1766940898.18,.0517348477609847,C,0
300396,436666556.71,1414344435.43,1851010992.14,2017,242756664.67,1018349994.14,0,C35,,9.042748404443584,.7640929424167499,.1311481486068016,21.33899780900744,.2359070575832501,.5501588042773642,1858353316.55,-.0039509841022216,C,0
300396,426613347.03,1562313880.5,1988927227.53,2018,275578717.06,1104273363.84,0,C35,,8.076331386414997,.7855058037695021,.1385564606112987,21.41086124868285,.2144941962304979,.5552105419218228,1851010992.14,.0745085988012159,C,0
300396,327532396.99,1734789057.33,2062321454.32,2019,309681956.72,1153483689.6,0,C35,,8.744772290921404,.8411826651447042,.1501618266499148,21.4470981048235,.1588173348552958,.5593132376059836,1988927227.53,.0369014138748286,C,0
300396,368947823.47,1654500366.12,2023448189.59,2020,312734325.12,1078395987.34,1,C35,,10.08347580099083,.8176638149827015,.1545551434076341,21.42806891759856,.1823361850172986,.5329496415514891,2062321454.32,-.0188492752420197,C,0
300396,499277247.97,1876348953.1,2375626201.07,2021,229126926.1,941320910.48,1,C35,,8.967617464089015,.7898334141351354,.0964490650914691,21.5885269032883,.2101665858648645,.3962411721406431,2023448189.59,.174048445268747,C,0
